iter	Passed	Remaining
248	13537	8209
249	13595	8157
250	13646	8101
251	13702	8047
252	13757	7993
253	13813	7940
254	13867	7885
255	13929	7835
256	13992	7785
257	14049	7732
258	14106	7679
259	14163	7626
260	14217	7571
261	14276	7519
262	14336	7467
263	14421	7429
264	14484	7378
265	14543	7326
266	14608	7277
267	14665	7223
268	14727	7172
269	14783	7117
270	14842	7065
271	14901	7012
272	14959	6959
273	15015	6904
274	15071	6850
275	15128	6796
276	15179	6740
277	15237	6687
278	15294	6633
279	15350	6578
280	15406	6524
281	15460	6469
282	15518	6415
283	15578	6363
284	15642	6311
285	15717	6265
286	15781	6213
287	15842	6161
288	15902	6107
289	15960	6054
290	16014	5998
291	16071	5944
292	16125	5888
293	16187	5836
294	16250	5783
295	16310	5730
296	16366	5676
297	16417	5619
298	16473	5564
299	16527	5509
300	16582	5453
301	16633	5397
302	16689	5342
303	16743	5287
304	16796	5231
305	16852	5176
306	16914	5124
307	16969	5068
308	17027	5014
309	17085	4960
310	17142	4905
311	17196	4850
312	17250	4794
313	17306	4740
314	17358	4683
315	17412	4628
316	17478	4576
317	17532	4520
318	17589	4466
319	17640	4410
320	17694	4354
321	17745	4298
322	17797	4242
323	17851	4187
324	17905	4132
325	17958	4076
326	18011	4020
327	18058	3964
328	18111	3908
329	18162	3852
330	18216	3797
331	18271	3742
332	18326	3687
333	18377	3631
334	18429	3575
335	18480	3520
336	18530	3464
337	18580	3408
338	18635	3353
339	18687	3297
340	18741	3242
341	18792	3186
342	18842	3131
343	18894	3075
344	18947	3020
345	18995	2964
346	19048	2909
347	19099	2853
348	19150	2798
349	19201	2743
350	19251	2687
351	19301	2631
352	19352	2576
353	19425	2524
354	19476	2468
355	19524	2413
356	19575	2357
357	19624	2302
358	19673	2246
359	19777	2197
360	19903	2150
361	19965	2095
362	20045	2043
363	20100	1987
364	20157	1932
365	20214	1877
366	20270	1822
367	20325	1767
368	20381	1712
369	20438	1657
370	20496	1602
371	20551	1546
372	20608	1491
373	20667	1436
374	20722	1381
375	20777	1326
376	20834	1271
377	20888	1215
378	20943	1160
379	20999	1105
380	21057	1050
381	21113	994
382	21170	939
383	21228	884
384	21284	829
385	21335	773
386	21393	718
387	21449	663
388	21507	608
389	21561	552
390	21617	497
391	21673	442
392	21732	387
393	21786	331
394	21839	276
395	21899	221
396	21961	165
397	22015	110
398	22073	55
399	22123	0
