iter	Logloss
0	0.6813839825
1	0.6718138855
2	0.6638631155
3	0.6576364219
4	0.6528129272
5	0.6483323642
6	0.6447806179
7	0.6410477838
8	0.6378147833
9	0.6353968029
10	0.6330326306
11	0.6310040623
12	0.6292165101
13	0.627685004
14	0.6259009429
15	0.6246931132
16	0.6233331638
17	0.622452305
18	0.6217343082
19	0.6211173103
20	0.620463149
21	0.6197942459
22	0.6192854518
23	0.6186091763
24	0.6180832126
25	0.6176724829
26	0.6171398098
27	0.6167001429
28	0.6164663389
29	0.6160684666
30	0.6156391659
31	0.6151599724
32	0.6149403201
33	0.6142893622
34	0.6140433514
35	0.6136843736
36	0.6135021601
37	0.6131422114
38	0.6128626642
39	0.6126042553
40	0.6123411989
41	0.6119937299
42	0.6114072736
43	0.6111537532
44	0.6109603638
45	0.6105612095
46	0.6103752558
47	0.610124455
48	0.6100076833
49	0.6097829518
50	0.6095967695
51	0.6093835635
52	0.6093231729
53	0.6091481157
54	0.6089419352
55	0.6086901036
56	0.6085069166
57	0.6082299398
58	0.6079781301
59	0.6078202652
60	0.6076059293
61	0.6073048292
62	0.6070787172
63	0.6068088111
64	0.6065270397
65	0.6063921317
66	0.6061929224
67	0.606085583
68	0.605855682
69	0.6057708178
70	0.6054488707
71	0.6053622124
72	0.6051553685
73	0.6049914328
74	0.6046624152
75	0.6044497361
76	0.6042686153
77	0.6040412395
78	0.6036537272
79	0.6035033077
80	0.6031423338
81	0.6029382979
82	0.6027344956
83	0.6025289636
84	0.6024277237
85	0.6023266442
86	0.6021266665
87	0.6019669064
88	0.6016839136
89	0.6013214088
90	0.6010897414
91	0.6009617295
92	0.6008077777
93	0.6007285251
94	0.6006115199
95	0.6004394916
96	0.6002681629
97	0.5999872636
98	0.5997366427
99	0.5996063496
100	0.5994558666
101	0.5992799003
102	0.5990741945
103	0.5989381885
104	0.5986187212
105	0.5984659386
106	0.5981996696
107	0.5981061577
108	0.5977997045
109	0.597487141
110	0.5973133897
111	0.597164426
112	0.5969556409
113	0.596708633
114	0.5964340591
115	0.5962120431
116	0.596041879
117	0.5956345423
118	0.5954775235
119	0.5950829022
120	0.5948978262
121	0.594774551
122	0.5945840724
123	0.5943820206
124	0.5940787734
125	0.5939098796
126	0.5937397213
127	0.5936083636
128	0.5933923626
129	0.5932038447
130	0.5930001861
131	0.5928330842
132	0.5927254803
133	0.5923370234
134	0.5921773537
135	0.5919669052
136	0.5916679603
137	0.5914487024
138	0.5912661451
139	0.591046277
140	0.5908680419
141	0.5907254469
142	0.5905361632
143	0.59032192
144	0.5900304333
145	0.5898614819
146	0.5896864891
147	0.5894514455
148	0.5892678855
149	0.5890092023
150	0.5888974366
151	0.5887374999
152	0.588569528
153	0.5884480061
154	0.5883129196
155	0.5880943224
156	0.587986847
157	0.5877301569
158	0.5875906361
159	0.5873562172
160	0.5872644837
161	0.5870872269
162	0.5868595214
163	0.5866448385
164	0.5863390986
165	0.5862140412
166	0.5861244896
167	0.5859473885
168	0.5857436132
169	0.5855132743
170	0.585275771
171	0.5850638299
172	0.5849770318
173	0.5847872045
174	0.5845502448
175	0.5842363702
176	0.5840891808
177	0.5839556395
178	0.5838907551
179	0.5837034677
180	0.5835008161
181	0.583244031
182	0.5830520457
183	0.5828780335
184	0.5826634862
185	0.5824659162
186	0.5822759978
187	0.5819895344
188	0.5816946886
189	0.581539604
190	0.5812487934
191	0.5811037192
192	0.5809439478
193	0.5807932517
194	0.5805397299
195	0.5802624845
196	0.5799653312
197	0.5797395719
198	0.5796028551
199	0.5794114928
200	0.5792460302
201	0.5790082775
202	0.5788368655
203	0.5786635497
204	0.5785335425
205	0.5783767667
206	0.578220706
207	0.577966406
208	0.5777976652
209	0.5777568819
210	0.5777064367
211	0.5775557161
212	0.5773804088
213	0.5771082032
214	0.5768788992
215	0.5767196643
216	0.5765133724
217	0.5763774757
218	0.5762580503
219	0.5760454292
220	0.5759543616
221	0.5758278095
222	0.5756668898
223	0.5755596099
224	0.5754676893
225	0.5753013739
226	0.5751522334
227	0.5749124926
228	0.5748003239
229	0.5746122518
230	0.5744006435
231	0.5742431219
232	0.5740480944
233	0.5739100815
234	0.5737857385
235	0.5736495335
236	0.5735320275
237	0.5733800059
238	0.5732321695
239	0.5730326055
240	0.5727892824
241	0.5726416281
242	0.5724513115
243	0.5723032558
244	0.5721217754
245	0.5720293644
246	0.5718960987
247	0.5717599362
248	0.5715681235
249	0.5713681889
250	0.5711774316
251	0.5709936124
252	0.570892371
253	0.5708210614
254	0.5707361841
255	0.5706392196
256	0.5704849268
257	0.570327792
258	0.5702020233
259	0.5700901388
260	0.5699023011
261	0.5696486261
262	0.5694934308
263	0.56936157
264	0.5692147078
265	0.5690547785
266	0.5689073247
267	0.5687289466
268	0.5685257849
269	0.5683143655
270	0.5681546343
271	0.5679655262
272	0.56776513
273	0.5675709178
274	0.5674374411
275	0.5672019617
276	0.5671827755
277	0.5670402611
278	0.5669508413
279	0.5669010955
280	0.5667766008
281	0.5666440742
282	0.5663988902
283	0.5661680188
284	0.5659611782
285	0.565854821
286	0.5656665519
287	0.565487835
288	0.5654161971
289	0.5653293102
290	0.5651655013
291	0.5649898039
292	0.5647872851
293	0.5645753217
294	0.5644048843
295	0.564240504
296	0.5641478317
297	0.5640396751
298	0.5639673492
299	0.5638842378
300	0.563706867
301	0.5636090784
302	0.5634193272
303	0.5633137355
304	0.5632091224
305	0.5630086655
306	0.5627532717
307	0.5625308844
308	0.5623617854
309	0.5622711881
310	0.5621523767
311	0.5619901085
312	0.5618375584
313	0.5616715701
314	0.5615591771
315	0.5614752732
316	0.5613530839
317	0.5612972254
318	0.5611978831
319	0.5609799616
320	0.5608878987
321	0.5607368438
322	0.5605970161
323	0.5604108707
324	0.560266576
325	0.5600895943
326	0.5599505479
327	0.5599192424
328	0.5597668456
329	0.5594327936
330	0.5592955051
331	0.559123603
332	0.5589579768
333	0.558831248
334	0.5587086681
335	0.5586014023
336	0.5584822402
337	0.5583520794
338	0.5582258374
339	0.5581172611
340	0.5579467686
341	0.557795368
342	0.5576974384
343	0.5575827036
344	0.5573950007
345	0.5573600229
346	0.5571818028
347	0.5570104988
348	0.5568554818
349	0.5567990234
350	0.5567345457
351	0.5566783866
352	0.5564405164
353	0.5563307435
354	0.5562060834
355	0.5561531301
356	0.5560327626
357	0.5558959153
358	0.5557780114
359	0.5556499277
360	0.555542016
361	0.5554597361
362	0.5551937853
363	0.5550994632
364	0.5549823658
365	0.5547959193
366	0.5546155659
367	0.5544957926
368	0.5542843508
369	0.5541883278
370	0.5539880701
371	0.5538078214
372	0.5537254458
373	0.5536241114
374	0.5534512701
375	0.5533624792
376	0.5532775521
377	0.55318567
378	0.5530543108
379	0.5528778733
380	0.5527694653
381	0.5526277657
382	0.5524826006
383	0.5523947977
384	0.5522464195
385	0.5521553523
386	0.5520186322
387	0.5518522656
388	0.5515893978
389	0.5514841017
390	0.5513275664
391	0.5512192608
392	0.5510368327
393	0.5509364767
394	0.5508047473
395	0.5506448954
396	0.5504933123
397	0.5502545905
398	0.5500465772
399	0.5499088283
